Story,Task,Estimate min (hr),Estimate max (hr),Actual,Comment

Init project, Create project with Next.js, 0.5, 0.5, 0.5
Authentication, Implement Auth.js, 0.25, 0.25, 0.25
Database, Implement prisma, 0.25, 0.25, 0.25
Database, Generate auth based db schema, 1, 1, 0.5
Database, Generate notes based db schema, 1, 1
UI, Create UI for auth, 1, 3, 1.5
UI, Create UI components for CRUD process of notes, 2, 3, 1.5
UI, Implementation of business logic for notes, 1, 2, 1
Backend, Implementation of api routes for notes, 1, 1, 1
UI, Improve UI design, 2, 3, 3
AI features, Implement AI actions, 3, 5, 1
Analytics, Implement analytics page, 2, 3